topic_id,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
68,79,"['sentir', 'urinar', 'dor', 'muita', 'normal', 'costas', 'andar', 'pé', 'vontade', 'semanas']",Dores na coluna e na pelve na gravidez,Dor lombar e pélvica na gestação,Pressão pélvica e dor nas costas na gravidez,"É normal, com 4 meses de gestação, travar e sentir dor na região entre as nádegas a ponto de não conseguir andar?","É normal, com 31 semanas de gravidez, sentir muita dor nas costas, dor na virilha, contrações todos os dias e urinar muitas vezes?","Na gravidez de 7 meses, é normal sentir cólicas por um instante, endurecimento da barriga e vontade de urinar quase o tempo todo?","É normal estar com 38 semanas de gravidez sem sentir dores, apenas sono excessivo e fome?",É normal sentir muita dor pélvica com 28 semanas e 3 dias de gestação?,"É normal sentir dor na região do períneo dois meses após uma laceração de grau 3, principalmente depois de evacuar?",O que pode ser um muco tipo catarro com um pouco de sangue e cólicas nas costas e no pé da barriga em uma mulher laqueada há 1 ano?,"O que significa ""pé da barriga""?",Um bebê de 23 dias que mama toda hora e nunca fica satisfeito pode estar perdendo peso por falta de leite materno?,"O que devo fazer se meu filho tem dor no umbigo, não consegue urinar, andar ou levantar, e os exames não mostram nada?",,,,,,
69,74,"['davi', 'irmão', 'irmãozinho', 'davizinho', 'ganhar', 'irmãzinha', 'irmã', 'vai', 'clarinha', 'vir']",Próximo irmão ou irmã na gravidez,Nascer novo irmão para o filho,Possibilidade de novo bebê na família,O Davi vai ganhar uma irmãzinha?,Davizinho vai ter uma irmã ou um irmão?,O Davi vai ganhar um irmãozinho?,Davi vai ganhar um irmãozinho?,O Davizinho vai ter uma irmãzinha ou um irmãozinho?,Vai ter vlogs do parto?,Tem como evitar a colestase gestacional em uma nova gravidez?,Como evitar que o bebê pegue gripe quando tem um irmão mais velho que vai para a escola?,Em 2026 a Jade vai vir?,"Se meu irmão tivesse sido fruto de um nascimento não desejado, ele gostaria de morrer?",,,,,,
70,61,"['suplemento', 'vitamina', 'suplementos', 'vitaminas', 'tomar', 'ômega', 'suplementação', 'diminuir', '000', 'pré']",Suplementação de vitaminas na gestação,Uso de vitaminas e suplementos na gravidez,Suplementos vitamínicos durante a gravidez,Qual suplemento vitamínico para gestante está sendo usado na gravidez?,"Na gestação, os suplementos mencionados devem ser tomados antes da refeição?",Qual suplemento a gestante tomou durante a gravidez?,Essas vitaminas precisam ser tomadas durante toda a gravidez?,"Quando a mulher engravida, é preciso parar de tomar esses suplementos?",Uma criança com deficiência de G6PD pode tomar albendazol?,Quais suplementos são específicos para quem está em tratamento de FIV?,"O Regenesis Premium deve ser tomado em uma cápsula por dia ou em duas cápsulas, se a médica orientou tomar um após o almoço?",Quem tem pedra na vesícula pode tomar ômega 3 na suplementação antes de engravidar?,"Ômega 3, atividade física e coenzima Q10 também podem ajudar a diminuir o risco de pré-eclâmpsia?",,,,,,
71,71,"['pós', 'após', 'hemorragia', 'parto', 'hemorroidas', 'pontos', 'sexual', 'sangramento', 'parou', 'normal']",Sangramento e dor no pós-parto,Sangramento no pós-parto e recuperação,Sangramento pós-parto e retorno sexual,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?,O sangramento após o parto parou?,É normal sangrar em alguns dias e em outros não após o parto?,É normal não ver melhora no amarelão de um bebê de um mês após cinco dias de banho com chá de picão misturado na água?,Uma comida congelada para o pós-parto pode ficar congelada por mais de 30 dias?,"Mesmo sem útero, a endometriose pode ter voltado?",O sangramento parou após a aspiração com AMIU?,O creme de promestrieno pode ajudar no início da incontinência urinária depois de dois partos normais e com o assoalho pélvico fino e pouco elástico?,,,,,,
72,84,"['cesárea', 'próxima', 'cesáreas', 'tentar', 'normal', 'parto', 'cesariana', 'terceira', 'ter', 'uma']",Parto normal após cesárea,Possibilidade de parto normal após cesárea,Tentativa de parto normal depois de cesárea,"É verdade que, depois de uma cesariana, não é possível ter parto normal em uma gravidez posterior?","É possível ter um parto normal nesta gravidez, mesmo tendo feito uma cesárea no parto anterior?","É possível ter parto normal nesta segunda gravidez, mesmo tendo feito cesárea no primeiro parto?",É possível ter um parto normal depois de uma cesariana?,Há algo que eu precise fazer ou evitar para tentar ter um parto normal após já ter tido uma cesárea há dois anos?,"É possível fazer a extração em uma mama e, no intervalo, fazer na outra?","A imunização pode ajudar nesta gravidez, considerando que sou fator Rh negativo, meu esposo é Rh positivo e já tive dois abortos anteriores?","É possível ter uma gravidez de sucesso mesmo com hepatite autoimune e hipotireoidismo autoimune, após três abortos retidos?",Quando o corpo volta ao normal após ter um bebê?,Como é realizar a quinta cesariana?,,,,,,
73,65,"['histerectomia', 'retirada', 'cirurgia', 'útero', 'retirar', 'total', 'aberta', 'parcial', 'abdominal', 'geral']",Histerectomia e recuperação pós operatória,Retirada do útero e cuidados,Cirurgia de retirada do útero,"Na histerectomia, é possível manter o colo do útero?",É possível retirar o útero mesmo sem ter problemas no útero?,Por que foi realizada a histerectomia?,"Na histerectomia, os médicos abrem no mesmo local de uma cesárea para retirar o útero?",É normal sentir muita dor ao se levantar depois de uma cirurgia de histerectomia feita em 18 de dezembro?,Como colocar o bebê conforto no carro de forma segura?,"No teste do pezinho, não é apenas retirada uma gota de sangue?","A saída de secreção parecida com gosma, transparente ou amarelada, durante as contrações pode ser o tampão mucoso?","Estou com 3 meses de gravidez, tenho muitas varizes e medo de que isso se torne trombose; o que devo fazer agora?",Existe um tratamento mais adequado para esse problema de amamentação ou de retirada de leite?,,,,,,
74,76,"['estrela', 'filhotes', 'dos', 'pai', 'ficou', 'cinco', 'meninas', 'cachorro', 'meninos', 'grávida']",Gravidez de cadela Estrela,Estrela grávida de filhotes,Gestação da cadela Estrela,Por que a Estrela está grávida?,A Estrela está grávida mesmo?,De quem são os filhotes que a Estrela está esperando?,A Estrela realmente ficou grávida?,A Estrela está grávida?,Você conseguiu tratar a amenorreia depois que descobriram?,A bebê reclamou ou demonstrou incômodo com os botões atrás do macacão?,É normal não menstruar quando o bebê já está com cinco meses?,"Se o resultado for Y e os bebês estiverem na mesma placenta, isso significa que são dois meninos?",O que fazer se a fêmea grávida de 5 filhotes estiver em risco de morrer?,,,,,,
75,99,"['nasceu', 'matar', 'bem', 'criança', 'aconteceu', 'queria', 'situação', 'nessa', 'bebê', 'ver']",Condições do bebê após o nascimento,Saúde do bebê após nascer,Como está o bebê depois de nascer,O que aconteceu com a bebê?,Você sabe o que aconteceu com o bebê?,O bebê já nasceu e está bem?,O bebê está bem agora?,O que aconteceu com o bebê?,A síndrome de Down só foi descoberta quando o bebê nasceu?,A criança afetada por tétano sobreviveu?,O que devo fazer nessa situação de atraso menstrual com sangramento leve?,A Sofia está bem?,O bebê será registrado se a mãe matar o filho após o nascimento?,,,,,,
76,69,"['fralda', 'trocar', 'xixi', 'fraldas', 'cocô', 'descartável', 'usa', 'pacote', 'algodão', 'roupinhas']",troca de fralda e uso de descartável,uso de fralda descartável e troca,trocar fralda descartável e roupa do bebê,Não é preciso trocar a fralda ou colocar roupa na filha?,É realmente necessário deixar de trocar a fralda do bebê por 12 horas?,Há algum problema em deixar a fralda do bebê por horas se ele não estiver incomodado e a fralda for de boa qualidade?,Qual tamanho de fralda a bebê usa?,"É normal deixar uma fralda no bebê por 12 horas, mesmo cheia de xixi?","Após uma cerclagem feita com 12 semanas de gravidez, é possível continuar trabalhando 12 horas em um serviço administrativo, às segundas, quartas e sextas-feiras?",Seu filho com pé torto congênito já teve recidiva ou precisou trocar a órtese?,Há algum problema em permanecer com o ponto da cesárea?,"Como funciona para o bebê não entrar em contato com sangue, xixi ou cocô no parto, seja na cesariana ou no parto normal?",É deselegante pedir PIX no convite do chá de fraldas caso a pessoa não tenha tempo de comprar o presente?,,,,,,
77,91,"['vídeo', 'mencionada', 'pessoa', 'mencionado', 'no', 'grávida', 'mentira', 'sobre', 'mostrada', 'mostrado']",Gravidez da pessoa mostrada em vídeo,Gestante citada em vídeo,Bebê e gravidez mostrados no vídeo,A pessoa mencionada no vídeo está grávida mesmo?,A pessoa mencionada no vídeo está realmente grávida?,A pessoa mencionada no vídeo está grávida de verdade?,A pessoa do vídeo pode estar grávida?,É verdade que a pessoa mencionada no vídeo está grávida?,"Como está hoje a filha mencionada, que recebeu o diagnóstico de MCAD?",O método mencionado no vídeo funciona para uma criança autista não verbal?,Como fazer o cálculo mencionado no vídeo sobre os vômitos e a regurgitação do bebê?,O que é a anestesia ou intervenção mencionada no relato sobre o parto?,Você pode fazer um vídeo sobre os produtos de higiene para bebê?,,,,,,
78,83,"['pós', 'taping', 'cinta', 'calcinha', 'usar', 'parto', 'compressão', 'cesárea', 'no', 'aplicação']",Uso de taping e cinta pós-parto,Uso de faixas compressoras no pós-parto,Uso de taping na recuperação pós-parto,O taping é indicado no pós-parto?,Devo usar cinta pós-parto ou não?,"Depois de um parto normal, é possível usar cinta no pós-parto ou apenas calcinha cintura alta?","Após a cesariana, em quantas horas ou dias posso colocar o taping pós-parto?",O que você acha do uso de taping no pós-parto?,Essa manobra de desengasgo é indicada apenas para engasgos com sólidos?,"Para o meu filho, devo usar iodo a 2% ou a 5%?",Onde posso comprar algodoeiro?,É possível usar estriol na menopausa e de que forma ele deve ser usado?,É possível aplicar Noripurum durante a gravidez?,,,,,,
79,60,"['olívia', 'janeiro', 'fevereiro', 'nascer', 'dia', 'vai', 'ou', '29', '30', 'no']",Data de nascimento da Olívia,Quando a Olívia vai nascer,Previsão do nascimento da Olívia,Olívia vai nascer no dia 29 de janeiro ou no dia 2 de fevereiro?,A Olívia vai nascer no dia 29 de janeiro ou no dia 2 de fevereiro?,A Olívia vai nascer no dia 30 de janeiro ou no dia 1 de fevereiro?,A Olívia vai nascer no dia 30 de janeiro ou no dia 2 de fevereiro?,A Olívia vai nascer no dia 27 de janeiro ou no dia 2 de fevereiro?,É possível estar grávida de um mês e ainda ter menstruado em janeiro e fevereiro?,Quem está na barriga da Olívia?,"O que vocês acham das datas previstas para o parto da minha prima, dia 29, e a minha, 3 de fevereiro?",Ela já teve a Olívia?,O parto da Olívia vai ser cesárea ou parto normal?,,,,,,
80,71,"['fórmula', 'leite', 'alergia', 'ml', 'nan', 'infantil', 'integral', 'vaca', 'quantidade', 'intestino']",Fórmula infantil e leite para bebês,Uso de fórmula infantil e leite materno,Oferecer fórmula infantil e leite ao bebê,O leite em fórmula é o ideal para o bebê até 1 ano de idade?,"Se o bebê não quer mamadeira, como dar fórmula?","Depois de 1 ano de idade, pode dar leite comum integral ao bebê?",Leite de vaca industrializado pode ser dado ao bebê?,Um bebê de 2 meses pode estar tomando leite de vaca?,É possível fazer transplante de intestino em uma criança?,Qual foi o motivo da perda gestacional e houve algum motivo específico?,A água para preparar a fórmula deve ser quente ou em temperatura ambiente?,"É possível fazer um bolo de aniversário sem açúcar para bebê com alergia a ovo, leite e amendoim?","Para preparar 180 ml de fórmula Nan EspessAR para o bebê, devo usar 90 ml de água a 70 °C, adicionar 6 medidas da fórmula, agitar bem e depois completar com água mineral até a marca de 180 ml?",,,,,,
81,72,"['rosado', 'sangramento', 'marrom', 'pequeno', 'corrimento', 'sinal', 'atraso', 'menstrual', 'dias', 'indicar']",Sangramento rosado na suspeita de gravidez,Sangramento marrom rosado com atraso menstrual,Sangramento leve rosado e atraso menstrual,"Um sangramento rosado e leve, que durou 3 dias e depois ficou mais amarronzado, pode ser sinal de gravidez?","Menstruação atrasada há 15 dias, com borra marrom e sangue rosa por dois dias, pode indicar gravidez?","Um sangramento marrom, em pouca quantidade, ocorrido 10 dias antes da menstruação e uma semana após a relação pode estar relacionado à gravidez?","Com um mês de atraso menstrual, sangramento rosado e dor na barriga, pode ser gravidez?",Um sangramento rosinha bem claro que apareceu ontem e depois não veio mais nada pode ser sinal de gravidez?,"Quando a bolsa estoura, o líquido pode sair em pouca quantidade, várias vezes?","O atraso menstrual de 21 dias pode estar relacionado à endometriose, ao endometrioma ou ao mioma?","Há risco de gravidez após a relação, mesmo com o parceiro tendo feito vasectomia há anos, considerando que houve um pequeno sangramento dois dias depois e um pouco mais no quarto dia?",Esse corrimento rosado com ardência pode ter relação com a idade?,É normal ter corrimento rosa com alguns grumos brancos?,,,,,,
82,51,"['giovana', 'giovanna', 'pai', 'grávida', 'namorado', 'quem', 'verdade', 'está', 'podia', 'engravidou']",Gravidez da Giovanna e pai do bebê,Giovanna grávida e identidade do pai,Giovanna está grávida quem é o pai,A Giovanna está grávida de verdade?,É verdade que a Giovana está grávida?,É verdade que a Giovanna está grávida?,É verdade que Giovanna está grávida?,Giovanna está grávida de verdade?,"Como fica o namorado da Helena, que sonhava em ser pai, nesta história?","Se ela engravidou pela quarta e pela quinta vez e não podia fazer parto normal, como o bebê sairia?",O Robson é seu namorado?,Quem é o pai do bebê de Amanda?,A gravidez de Josi está evoluindo normalmente?,,,,,,
83,65,"['cesárea', 'corte', 'camadas', 'realizar', 'mãos', 'sai', 'cesariana', 'embaixo', 'jejum', 'corta']",Como é feita a cesárea,Procedimento da cesárea e cortes,Incisões e camadas na cesariana,Por que a cesárea rasga tudo?,Por que o parto cesáreo é feito desse jeito?,"Na cesárea, a incisão não foi feita naquele ponto, foi?","Na cesárea, o médico abre a barriga da mãe para realizar o parto?","Na cesárea, a cabeça do bebê sai primeiro?",O que é o acessório que ele usa embaixo do peito?,O fenômeno do alvorecer pode impactar um exame em jejum realizado bem cedo?,Para que cor o corrimento muda quando o tampão mucoso sai?,O que fazer quando o bebê não gosta de ter as mãos cobertas?,"Mesmo segurando o bebê com as mãos, ele volta para a posição inicial?",,,,,,
84,58,"['menopausa', 'hormonal', 'anos', 'reposição', 'aos', 'menstruar', '41', 'precoce', 'entrando', 'climatério']",Menopausa precoce e reposição hormonal,Transição menopausal e reposição hormonal,Climatério e reposição hormonal,"Com 50 anos, é possível já estar na menopausa?","Com 49 anos e com a menstruação ficando irregular, isso pode ser sinal de pré-menopausa ou menopausa?",Tenho 45 anos e estou sem menstruar há 5 anos; isso significa que já estou na menopausa?,Ficar dois meses sem menstruar e a menstruação voltar neste mês significa que a menopausa está chegando?,Esse atraso menstrual aos 40 anos pode ser sinal de menopausa?,Esse risco é maior apenas para quem tem deficiência do hormônio GH na infância ou adolescência e não faz a reposição hormonal?,Qual é o valor do implante hormonal subcutâneo?,Os exercícios mostrados servem para tratar secura vaginal na menopausa?,Dor na bexiga pode ser causada pela menopausa?,É normal ter ciclos menstruais irregulares aos 46 anos?,,,,,,
85,68,"['seu', 'muda', 'luz', 'você', 'estão', 'bebê', 'deu', '2026', 'mamãe', 'já']",Nascimento do bebê e adaptação familiar,Chegada do bebê e mudanças na família,Você e o bebê após o nascimento,A sua bebê já nasceu?,Você já ganhou o bebê?,Seu bebê já nasceu?,O seu bebê já nasceu?,Você teve o bebê?,Fraturas de clavícula em bebês acontecem nos partos e muitas vezes não causam reação no recém-nascido?,"É possível uma criança nascer surda, muda e cega?","Em 2026, a Antonella já havia nascido?",Por que os produtos Mamãe e Bebê da Natura não são recomendados?,Como o bebê muda de posição para nascer?,,,,,,
86,70,"['mia', 'irmã', 'irmão', 'cuidar', 'reação', 'vai', 'velha', 'presa', 'língua', 'ganhar']",Gravidez da Mia e notícia do bebê,Mia vai ter irmão ou irmã,A mãe da Mia está grávida,A mãe da Mia está grávida de verdade?,A Mia já sabe que vai ganhar um irmão ou uma irmã?,A mãe da Mia está grávida de mais um bebê?,A Mia vai ganhar uma irmãzinha?,É verdade que a mãe da Mia está grávida?,Qual foi a reação que você teve ao tomar iodo na primeira semana de gestação?,"O que significa dizer que, na cesárea, o médico fez uma plástica?","O que significa dizer que o bebê está em ""T-pose""?",O Vini vai ter um irmão ou uma irmã?,"Quando você fala em ""cuidar"" da Olívia, quer dizer deixá-la por cerca de 10 minutos para ver qual será a reação dela?",,,,,,
87,99,"['banho', 'recém', 'nascido', 'água', 'vernix', 'fêmur', 'chuveiro', 'tanque', 'fria', 'produto']",Banho do recém-nascido,Higiene do recém-nascido,Banho e cuidados do recém-nascido,O banho do recém-nascido é realmente necessário?,Você dá banho no bebê com água gelada?,Por que você dá banho no bebê dessa forma?,Quantos banhos um bebê deve tomar por dia?,Você dá banho no bebê na cozinha mesmo?,Posso dar banho na Olívia?,A dieta GAPS pode ser usada para tratar a dermatite da filha?,Como é o cheiro do tampão mucoso?,Um recém-nascido que sofreu fratura no fêmur poderia perder a perna em quatro dias?,Você dá banho no Kaleb aí?,,,,,,
88,67,"['barriga', 'distensão', 'falar', 'grande', 'bebê', 'sobre', 'nesses', 'encaixado', 'certo', 'assim']",Distensão abdominal fetal e encaixe,Barriga grande do bebê no útero,Bebê na barriga com distensão abdominal,O que o bebê tem na barriga?,Por que o bebê está com a barriga grande?,A bebê já nasceu ou ainda está na barriga?,Por que a barriga do bebê está assim?,Por que o bebê é tão pequeno?,Existe a possibilidade de fazer uma cirurgia para melhorar a distensão abdominal de Kaleb?,Intercalar as fórmulas Aptamil RR e Aptamil Sensitive deu certo para o bebê?,Pode falar um pouco mais sobre robôs que poderiam gestar bebês?,Como posso saber quando estou ovulando?,Pode falar mais sobre o puerpério e trazer mais reflexões sobre esse assunto?,,,,,,
89,57,"['mioma', 'miomas', '42', 'cirurgia', 'cm', 'submucoso', 'intramural', 'retirar', 'figo', 'deformidade']",Mioma uterino e gravidez,Miomas uterinos na gestação,Efeitos dos miomas na gestação,Quem tem mioma pode engravidar?,"Em vez de gravidez, o caso seria de mioma?","Ter vários miomas de tamanhos diversos, inclusive um comprimindo o endométrio, pode dificultar a gravidez?",Uma mulher que tem miomas consegue engravidar?,Miomas têm relação com a necessidade de fazer cesariana?,"Essas três verrugas pequenas podem ter aparecido por causa da minha baixa imunidade, mesmo durante o processo de cicatrização?",Uma criança pode tomar solução de Lugol?,Uma gestante com vitamina B12 em 113 deve se preocupar com esse resultado?,Quem tem excesso de estrogênio por adenomiose profunda corre risco de câncer de colo do útero?,Há risco de o bebê nascer com síndrome de Down ou outro tipo de deformidade nesta gravidez aos 42 anos?,,,,,,
90,56,"['pai', 'neto', 'leia', 'luccas', 'lucas', 'robson', 'felipe', 'furacão', 'vinícius', 'júnior']",paternidade do pai do bebê,identidade do pai do bebê,quem é o pai do bebê,O Lucas é o pai do bebê?,O pai do bebê é o Lucas?,Lucas é o pai da gravidez?,"O pai do bebê é o Luccas, já que eles são apenas amigos de trabalho?",O pai do bebê é o Lucas Neto?,"O fato de a mãe ter sangue Rh negativo, o pai Rh positivo e o filho B positivo tem relação com o autismo do meu filho?",O filho da pessoa também pode ter deficiência de G6PD se o neto foi diagnosticado com essa deficiência no exame do pezinho?,Existe direito de a avó estar presente no nascimento do neto?,O pai do bebê é o Benzema ou o Vinícius Júnior?,"É uma menina, Mariana, ou um menino, Lucas?",,,,,,
91,76,"['indução', 'shake', 'indutor', 'induzir', 'receita', 'parto', 'óleo', 'prímula', 'induzido', 'foi']",Indução do parto e métodos,Indução do trabalho de parto,Indução do parto e recursos naturais,É possível ter uma boa experiência com a indução do parto?,Como foi a indução do parto?,Como foi a indicação para a indução do parto?,O que pode ser feito para estimular o parto normal?,A gestante precisou fazer indução do parto?,Em quais pontos foram colocadas as agulhas da acupuntura?,Como é feita a indução natural com óleo de prímula e shake de rícino?,Existem outros medicamentos para epilepsia além do Depakote que possam ser usados por quem precisa tomar muito cuidado para não engravidar?,É possível comprar Noripurum sem receita?,Quais podem ser as causas das dores abdominais intensas e quais tratamentos são necessários?,,,,,,
92,76,"['hospital', 'médico', 'tomou', 'consulta', 'medicamento', 'melhora', 'equipe', 'remédio', 'tratamento', 'conversou']",Consulta hospitalar e tratamento na gestação,Atendimento médico hospitalar e tratamento,Acompanhamento hospitalar e medicação na gravidez,Por que ela não foi ao médico?,Por que ela não foi para o hospital?,Por que ninguém vai com ela ao hospital?,Por que ela não foi levada ao médico?,O que o médico disse ou diagnosticou?,"Com qual medicamento o SIBO da filha de 7 anos foi tratado, já que ela está terminando o tratamento com rifaximina e ainda não houve melhora significativa?","Por que, na UTI, o bebê só podia mamar o leite da própria mãe e não leite de outras mães?",Como adiantar as marmitas durante o fim de semana para a semana?,Você tomou algum medicamento para tratar o TOC?,Como conduzir para a melhora da mastite da minha filha?,,,,,,
93,79,"['fez', 'teste', 'confirmar', 'exame', 'você', 'sangue', 'resultado', 'positivo', 'gravidez', 'passando']",Teste de gravidez e resultado positivo,Exame de gravidez e resultado positivo,Teste para confirmar gravidez e positivo,Você fez o exame para confirmar se está grávida?,Qual teste de gravidez você fez?,Você usou o teste de gravidez?,Você fez teste de gravidez?,Você conseguiu fazer o teste de gravidez?,"O resultado do exame de Coombs indireto, que mostrou anticorpos livres no meu sangue, significa que meu bebê é Rh positivo?",O exame de sangue que farei amanhã após a FIV vai indicar se tive um resultado positivo?,O sangue no parto acontece porque machuca quando o bebê está passando?,Por que o resultado do exame do pezinho do meu filho nunca saiu?,Por que você fez vasectomia?,,,,,,
94,62,"['mexer', 'sentir', 'movimentos', '17', 'semanas', 'normal', 'mexendo', 'bebê', 'gestação', 'barriga']",Variação dos movimentos do bebê,Quando sentir mexer do bebê,Sentir o bebê mexendo na gestação,"É normal não sentir o bebê mexer por três dias estando com 18 semanas de gravidez, depois de ter sentido movimentos na 13ª semana?",É normal estar com 17 semanas de gravidez e ainda não sentir o bebê mexer?,"Na gravidez de 5 meses, já é possível sentir o bebê mexer?","É normal, com 27 semanas de gravidez, não sentir o bebê mexer?","É normal sentir o bebê mexer com 12 semanas de gravidez, mesmo não sendo a primeira gestação?",Pode-se mexer o Aptamil AR com uma colher para ajudar a dissolver?,Um bebê de 4 meses na barriga pode parecer que não está respirando e ainda assim estar bem?,Os movimentos rápidos do bebê na barriga estão acelerados pela câmera?,"Com 17 dias de gravidez, ainda é possível evitar a gestação?","É possível ser sedada ou ficar ""apagada"" para mexer no dente durante a gravidez?",,,,,,
95,78,"['conjuntivite', 'usado', 'olhos', 'olho', 'tratar', 'melhorar', 'verde', 'soro', 'acontece', 'causada']",Conjuntivite em bebês,Conjuntivite infantil,Olhos com conjuntivite em bebê,Por que essa bebê teve conjuntivite?,O que acontece quando uma bebê pega conjuntivite?,É normal um bebê ter conjuntivite?,Por que meu bebê pegou conjuntivite?,A bebê com conjuntivite não foi levada ao médico?,"Existe outra opção de tratamento para melhorar a espessura do endométrio, já que a pessoa já usou ASS, Primogyna e estrogênio e não melhorou?","A menstruação escura, com cólicas fortes e diferentes das habituais, pode ser causada por miomas?",Como melhorar a espessura do endométrio?,Como a barriga de uma mulher recém-parida murcha imediatamente quando é espremida?,Por que a barriga de uma mulher recém-parida murcha imediatamente quando é espremida?,,,,,,
96,66,"['estrias', 'óleo', 'melasma', 'cicatricure', 'prímula', 'solar', 'creme', 'gel', 'protetor', 'durante']",Cuidados com produtos na gravidez,Uso de cremes e protetor solar na gestação,Segurança de cosméticos e tratamentos na gravidez,Quais cuidados uma gestante deve ter e quais produtos ela não pode usar?,Quais produtinhos para a pele e o corpo podem ser usados na gestação?,Qual é um bom protetor solar para usar na gravidez?,Você usou protetor solar durante a gravidez?,O uso de creme e óleo durante o dia mancha muito as roupas na gravidez?,A metformina pode ser usada para tratar um cisto policístico no ovário direito?,Qual é o óleo de rícino e onde ele pode ser comprado?,Esse creme é sem enxágue?,Qual é a dosagem do óleo de prímula indicada?,Quais cuidados uma pessoa com hipotireoidismo deve ter ao engravidar?,,,,,,
97,61,"['exercícios', 'exercício', 'começar', 'fazer', 'correr', 'esses', 'partir', 'posso', 'treino', 'terceiro']",Início de exercícios na gestação,Começar exercícios durante a gravidez,Fazer exercícios na gravidez sem risco,A partir de quantas semanas de gestação já pode começar a fazer esses exercícios?,Gestantes com 30 semanas de gravidez já podem começar a fazer esses exercícios?,Começar a praticar exercícios na gravidez representa risco para o bebê?,"Gestantes de 4 meses, com gravidez saudável até o momento, já podem fazer exercícios?",Qual é o melhor horário para fazer esses exercícios durante a gestação?,"Em um ciclo de 25 dias, quando devo começar a fazer os testes de ovulação?",Uma criança estuprada deve engravidar e correr o risco de morrer?,O que posso começar a fazer para que meu bebê tenha uma mamada mais tranquila na mamadeira?,Posso fazer esse exercício?,"O que fazer para aquecer o bebê quando estiver muito frio, sem correr os riscos de cobri-lo com cobertor?",,,,,,
98,47,"['coração', 'ouvir', 'batimentos', 'doppler', 'fetal', 'cardíacos', 'embrião', 'escutar', 'semanas', 'conseguir']",Batimentos cardíacos fetais,Escuta dos batimentos fetais,Coração do bebê no doppler,É normal não conseguir ouvir o coração do bebê com 13 semanas de gravidez?,"Com 13 semanas de gravidez, é normal não conseguir ouvir o coração do bebê com o Doppler fetal em casa?",É normal não ouvir os batimentos cardíacos do bebê em uma ultrassonografia com 5 semanas e 5 dias de gravidez?,É normal não ouvir nem ver o coração do bebê em uma ultrassonografia com 6 semanas e 6 dias de gestação?,É possível ouvir o coração do bebê em casa com 16 semanas de gestação?,Por que o Kaleb se alimenta pelo coração?,Como ativar a função de escutar ao vivo para ouvir o coração do bebê no iPhone?,"Em uma gestação de gêmeos, como é possível identificar os sexos dos bebês pela sexagem fetal?",Como configurar o Doppler fetal para português?,"Uma gestante com 21 semanas, com gravidez de risco por causa de febre reumática no coração, pode ter parto normal ou precisará de cesárea?",,,,,,
99,71,"['descobrir', 'remédios', 'prejudicar', 'tomar', 'formação', 'paracetamol', 'uso', 'dipirona', 'má', 'antes']",Riscos de remédios na gestação,Impacto de medicamentos na gravidez,Efeitos de remédios no feto,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?",O remédio que foi tomado antes de descobrir a gravidez pode ter causado algum problema ao bebê ou aumentado o risco de algo pior?,O bebê pode ter algum problema por eu ter tomado remédios para ansiedade e depressão antes de descobrir que estava grávida?,Por que a minha filha continua com esse problema e ele vai e volta mesmo depois de tomar vários remédios?,"O que fazer para evitar que ele mame à noite e me cause dor, mesmo depois de eu ter tomado medicação para secar o leite?",A suspeita de gravidez molar é compatível com a presença de restos ovulares?,O uso de Utrogestan na gestação pode causar má-formação na genitália masculina do feto?,A gestante pode tomar Zina ODT (dicloridrato de levocetirizina) para rinite durante a gravidez?,,,,,,
100,71,"['sexuais', 'relações', 'sexual', 'relação', 'tiveram', 'consequências', 'contrair', 'camisinha', 'teve', 'vagina']",Relações sexuais e risco gestacional,Relações sexuais e gravidez,Relação sexual e possibilidade de gravidez,Por que uma mulher tem relações sexuais com um rapaz e acaba grávida?,"Por que alguém engravidaria, então?",Isso quer dizer que vocês tiveram relação sexual para engravidar?,Devo parar de ter relações sexuais por causa desse problema?,Houve relação sexual sem preservativo?,"Se eu e meu marido fizermos um estudo genético antes da gestação, os riscos de o bebê nascer com alguma anomalia são eliminados?",Por que não fizeram a versão cefálica externa no meu caso para evitar que meu bebê nascesse atravessado?,"Uma pessoa com câncer terminal pode ter relações sexuais, engravidar e dar à luz?",É normal não fazer outro ultrassom e não saber o peso nem o tamanho do bebê no fim da gestação?,Você tentou ordenhar e congelar o seu leite?,,,,,,
