Topic,Count,Name,Representation,Representative_Docs
142,54,142_quantas_quantos_meses_você,"['quantas', 'quantos', 'meses', 'você', 'gestação', 'estava', 'semanas', 'está', 'tomadas', 'previsto']","['Com quantas semanas de gestação você está?', 'Com quantas semanas de gestação você estava?', 'Na primeira gestação, com quantas semanas você estava?']"
143,59,143_bolsa_estourou_contrações_estourar,"['bolsa', 'estourou', 'contrações', 'estourar', 'romper', 'amniótica', 'líquido', 'ir', 'começarem', 'sair']","['Deu tudo certo com a gestante e o bebê depois de a bolsa estourar e as contrações começarem com 32 semanas de gravidez?', 'Quando as contrações começarem, posso ir para o hospital ou devo esperar a bolsa estourar?', 'Se a bolsa romper no início das contrações, em quanto tempo devo ir ao hospital?']"
144,71,144_placenta_descolamento_acontece_baixa,"['placenta', 'descolamento', 'acontece', 'baixa', 'fica', 'anterior', 'perigoso', 'corpo', 'contínuo', 'hemorragia']","['O que acontece quando a placenta está anterior?', 'O sangramento contínuo após descolamento da placenta pode levar à indução do parto?', 'A posição da placenta anterior pode trazer risco na gravidez?']"
145,69,145_dói_anestesia_cesariana_cesáreas,"['dói', 'anestesia', 'cesariana', 'cesáreas', 'sente', 'cesárea', 'dor', 'menos', 'nascendo', 'relacionada']","['É verdade que, após uma cesariana, a mulher sente essa dor?', 'A anestesia da cesariana pode causar dor na coluna por muito tempo?', 'Uma mulher submetida à cesárea com anestesia sente dor?']"
146,48,146_episiotomia_laceração_evitar_humanizado,"['episiotomia', 'laceração', 'evitar', 'humanizado', 'parto', 'corte', 'rasgue', 'perineal', 'fórceps', 'garfo']","['É necessário fazer episiotomia para evitar que a cirurgia de perineoplastia rasgue?', 'Se a mulher já fez episiotomia em um parto, é provável que precise fazer episiotomia novamente no próximo parto?', 'Se na primeira e na segunda gestação foi necessário fazer episiotomia, o terceiro parto pode ser normal, sem cortes?']"
147,32,147_aas_aspirina_eclâmpsia_pré,"['aas', 'aspirina', 'eclâmpsia', 'pré', 'trimestre', 'mg', 'tomar', 'prevenir', 'primeiro', 'sentido']","['Faz sentido que o uso de AAS, uma conduta recomendada para prevenir pré-eclâmpsia na gestação, aumente o risco para o feto em qualquer sentido?', 'Gestantes com 33 semanas de gestação e alto risco de pré-eclâmpsia devem usar AAS nessa fase da gestação?', 'Para quem já teve pré-eclâmpsia em uma gestação anterior, é válido começar a usar AAS e suplementação desde o primeiro trimestre da gravidez?']"
148,43,148_percentil_semanas_34_gestação,"['percentil', 'semanas', '34', 'gestação', 'kg', '19', 'mm', '36', 'com', 'cm']","['É normal a bebê estar com 3.114 g às 36 semanas e 37 semanas e 3 dias de gravidez, ou isso é motivo de preocupação?', 'É normal um bebê, com 36 semanas e 3 dias de gestação, medir 50 cm e pesar 2.953,4 gramas?', 'O que significa a idade fetal de 34 semanas e 4 dias pela biometria, se estou com 34 semanas e 2 dias de gestação, e o bebê pesa 2537 gramas com percentil 62%?']"
149,57,149_pós_disso_normais_partos,"['pós', 'disso', 'normais', 'partos', 'sentiu', 'parto', 'muitos', 'puerpério', 'lidar', 'gases']","['Como tem sido o primeiro mês após o parto?', 'Reaquecer a comida pode fazer mal para a mãe no pós-parto e para a criança?', 'Qual é o papel do marido em relação à poupança do casal e ao apoio à esposa no pós-parto?']"
150,52,150_sintomas_sintoma_sentiu_quais,"['sintomas', 'sintoma', 'sentiu', 'quais', 'mesmos', 'relatou', 'os', 'sentindo', 'apresentar', 'nenhum']","['Quais sintomas de gravidez você teve?', 'Quais sintomas de gravidez você está sentindo?', 'Quais sintomas de gravidez você sentiu?']"
151,62,151_semanas_39_entrar_40,"['semanas', '39', 'entrar', '40', 'induzir', '37', 'trabalho', 'gestação', '42', 'ir']","['Se eu chegar às 40 semanas de gestação, devo ir ao hospital ou esperar o trabalho de parto em casa?', 'Na gestação de 39 semanas e 2 dias, só é possível induzir o parto com 40 semanas?', 'Uma gestante com 36 semanas, com parto marcado para 39 semanas, pode entrar em trabalho de parto antes da data prevista?']"
152,65,152_recuperação_cesariana_cesárea_após,"['recuperação', 'cesariana', 'cesárea', 'após', 'pós', 'repouso', 'chiclete', 'operatório', 'resguardo', 'melhorou']","['É possível ter relações sexuais 10 dias após a cesariana?', 'Como está sendo a recuperação após a cesariana e a retirada de uma trompa, devido a uma gravidez fora do útero?', 'Há algum problema em deitar na rede 45 dias após uma cesariana?']"
153,63,153_cabelo_crescer_materno_crescimento,"['cabelo', 'crescer', 'materno', 'crescimento', 'queda', 'leite', 'cair', 'tática', 'tanto', 'chupando']","['É verdade que o leite materno faz o cabelo do bebê crescer?', 'É verdade que o leite materno faz o cabelo da bebê crescer muito?', 'É verdade que colocar leite materno no cabelo faz o cabelo do bebê crescer?']"
154,61,154_teste_devo_fazer_atrasar,"['teste', 'devo', 'fazer', 'atrasar', 'repetir', 'esperar', 'menstruação', 'negativo', 'gravidez', 'atraso']","['Com três dias de atraso menstrual e teste de farmácia negativo, quanto tempo devo esperar para fazer o exame de sangue de gravidez?', 'Foi cedo demais fazer o teste de gravidez após um mês de atraso menstrual e ele ter dado negativo?', 'Devo fazer um novo teste de gravidez após a menstruação atrasar e o teste feito há dois dias ter dado negativo?']"
155,42,155_reflexo_vermelho_olho_preto,"['reflexo', 'vermelho', 'olho', 'preto', 'aparecer', 'câncer', 'exame', 'feito', 'cor', 'significa']","['E se o reflexo vermelho do olho do bebê aparecer preto?', 'O que deve ser feito se, no reflexo vermelho do olho do bebê, aparecer preto?', 'O que significa o reflexo vermelho do olho estar preto no exame do bebê?']"
156,40,156_ferro_suplementação_ferritina_endovenoso,"['ferro', 'suplementação', 'ferritina', 'endovenoso', 'deficiência', 'avaliar', 'hemoglobina', 'ar', 'falta', 'aperto']","['Na gestação, a suplementação de ferro deve ser feita para manter a ferritina acima de 70 ng/mL mesmo com hemoglobina acima de 11?', 'Gestantes conseguem obter ferro lipossomal para suplementação na gravidez?', 'Com ferritina de 16, intestino ruim e dificuldade para absorver ferro oral, ainda assim posso receber ferro na veia mesmo tendo risco de pré-eclâmpsia no primeiro morfológico?']"
157,39,157_trompas_ectópica_trompa_obstruídas,"['trompas', 'ectópica', 'trompa', 'obstruídas', 'engravidar', 'dificultar', 'quadril', 'ovário', 'didelfo', 'útero']","['Quais são as minhas chances de engravidar novamente após uma gravidez ectópica e a retirada de uma das trompas?', 'É possível engravidar sem as duas trompas?', 'É possível engravidar tendo apenas os ovários, depois de retirar o útero, o colo do útero e as trompas?']"
